eta_delta,slack_hours,berth_changed,etb_updated,label,r6_cutoff_from_eta,case
0,48,False,True,일반 모니터링,False,grid
0,30,False,True,일반 모니터링,False,grid
0,24,False,True,일반 모니터링,False,grid
0,20,False,True,연결항차 확인,False,grid
0,12,False,True,연결항차 확인,False,grid
0,10,False,True,연결항차 확인,False,grid
0,0,False,True,연결항차 확인,False,grid
0,-6,False,True,연결 여유 부족,False,grid
2,48,False,True,일반 모니터링,False,grid
2,30,False,True,일반 모니터링,False,grid
2,24,False,True,일반 모니터링,False,grid
2,20,False,True,연결항차 확인,False,grid
2,12,False,True,연결항차 확인,False,grid
2,10,False,True,연결항차 확인,False,grid
2,0,False,True,연결항차 확인,False,grid
2,-6,False,True,연결 여유 부족,False,grid
4,48,False,True,일반 모니터링,False,grid
4,30,False,True,일반 모니터링,False,grid
4,24,False,True,일반 모니터링,False,grid
4,20,False,True,연결항차 확인,False,grid
4,12,False,True,연결항차 확인,False,grid
4,10,False,True,연결항차 확인,False,grid
4,0,False,True,연결항차 확인,False,grid
4,-6,False,True,연결 여유 부족,False,grid
6,48,False,True,ETA 창 확인,False,grid
6,30,False,True,ETA 창 확인,False,grid
6,24,False,True,ETA 창 확인,False,grid
6,20,False,True,연결 + ETA 확인,False,grid
6,12,False,True,연결 + ETA 확인,False,grid
6,10,False,True,연결 + ETA 확인,False,grid
6,0,False,True,연결 + ETA 확인,False,grid
6,-6,False,True,연결 여유 부족,False,grid
8,48,False,True,ETA 창 확인,False,grid
8,30,False,True,ETA 창 확인,False,grid
8,24,False,True,ETA 창 확인,False,grid
8,20,False,True,연결 + ETA 확인,False,grid
8,12,False,True,연결 + ETA 확인,False,grid
8,10,False,True,연결 + ETA 확인,False,grid
8,0,False,True,연결 + ETA 확인,False,grid
8,-6,False,True,연결 여유 부족,False,grid
12,48,False,True,ETA 창 확인,False,grid
12,30,False,True,ETA 창 확인,False,grid
12,24,False,True,ETA 창 확인,False,grid
12,20,False,True,연결 + ETA 확인,False,grid
12,12,False,True,연결 + ETA 확인,False,grid
12,10,False,True,연결 + ETA 확인,False,grid
12,0,False,True,연결 + ETA 확인,False,grid
12,-6,False,True,연결 여유 부족,False,grid
18,48,False,True,ETA 창 확인,False,grid
18,30,False,True,ETA 창 확인,False,grid
18,24,False,True,ETA 창 확인,False,grid
18,20,False,True,연결 + ETA 확인,False,grid
18,12,False,True,연결 + ETA 확인,False,grid
18,10,False,True,연결 + ETA 확인,False,grid
18,0,False,True,연결 + ETA 확인,False,grid
18,-6,False,True,연결 여유 부족,False,grid
24,48,False,True,ETA 창 확인,False,grid
24,30,False,True,ETA 창 확인,False,grid
24,24,False,True,ETA 창 확인,False,grid
24,20,False,True,연결 + ETA 확인,False,grid
24,12,False,True,연결 + ETA 확인,False,grid
24,10,False,True,연결 + ETA 확인,False,grid
24,0,False,True,연결 + ETA 확인,False,grid
24,-6,False,True,연결 여유 부족,False,grid
6,30,True,True,ETA + 내륙 확인,False,"ETA +6h, slack 30h, T2→T3"
6,30,False,False,접안 ETB 재확인,False,"ETA +6h, slack 30h, ETB 미갱신"
